,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
496,The 1975,She's American,51cd3bzVmLAjlnsSZn4ecW,57,3mIj9lX2MWuHmhNCA7LSCW,['3mIj9lX2MWuHmhNCA7LSCW'],['The 1975'],2016,modern rock
497,BANNERS,Half Light,1tYOB844iD7HxHvPtwDPNu,67,4qWnlmXWuGv2TtuxtIWlJX,['4qWnlmXWuGv2TtuxtIWlJX'],['BANNERS'],2016,modern rock
498,Kid Bloom,Different State of Mind,0ZA43HPPeTVV7hPoFlLeR2,60,5CXdWANGwYYRPClH6hhC0P,['5CXdWANGwYYRPClH6hhC0P'],['Kid Bloom'],2016,modern rock
499,KALEO,I Can't Go on Without You,1dX6oGAG5PaexuPj29PsYd,67,7jdFEYD2LTYjfwxOdlVjmc,['7jdFEYD2LTYjfwxOdlVjmc'],['KALEO'],2016,modern rock
500,GRiZ,PS GFY,7shSdXO7iF0H0KeIdI4D4Z,57,25oLRSUjJk4YHNUsQXk7Ut,"['25oLRSUjJk4YHNUsQXk7Ut', '00dwwnz3V4kRfu3UFYpJLz']","['GRiZ', 'Cherub']",2016,edm
501,Zeds Dead,Frontlines,0c8X4ApJu6CNEXoIb5VKMo,59,67qogtRNI0GjUr8PlaG6Zh,"['67qogtRNI0GjUr8PlaG6Zh', '76M2Ekj8bG8W7X2nbx2CpF', '54pgkpWVgQYbQXD8bkUP8n']","['Zeds Dead', 'NGHTMRE', 'GG Magree']",2016,edm
502,Jacob Tillberg,Ghosts,1Rpj9CZE7cGSXUCfiBf0eA,64,6aJRwrwfOffz7RMh2Cfm8e,['6aJRwrwfOffz7RMh2Cfm8e'],['Jacob Tillberg'],2016,edm
503,Cheat Codes,Sex,4CGGIk81BvfCZiscwFP6t0,65,7DMveApC7UnC2NPfPvlHSU,"['7DMveApC7UnC2NPfPvlHSU', '4LcUpNlXFEleaLlelmkv2R']","['Cheat Codes', 'Kris Kross Amsterdam']",2016,edm
504,ayokay,Kings of Summer,5Ev3sAE6AN0baPJKe3vcy1,59,4BzCdhJTyTS3gumq9xmymb,"['4BzCdhJTyTS3gumq9xmymb', '3ApUX1o6oSz321MMECyIYd']","['ayokay', 'Quinn XCII']",2016,edm
505,Deorro,Bailar,1GL0EEkKCUT2yK52sjWkOt,59,6VD4UEUPvtsemqD3mmTqCR,"['6VD4UEUPvtsemqD3mmTqCR', '0TnOYISbd1XYRBk9myaseg', '1c22GXH30ijlOfXhfLz9Df']","['Deorro', 'Pitbull', 'Elvis Crespo']",2016,edm
506,Unknown Brain,Superhero,7EYv3adMrIC5mqurz7fHhD,71,0okpgBQamDqOZazBeH0J3I,"['0okpgBQamDqOZazBeH0J3I', '5Wpn7BDRJ8oq7CcF1EufWI']","['Unknown Brain', 'Chris Linton']",2016,edm
507,Martin Garrix,Animals - Radio Edit,65G7XDGcybJiGywSCXJiL5,62,60d24wfXkVzDSfLS6hyCjZ,['60d24wfXkVzDSfLS6hyCjZ'],['Martin Garrix'],2016,edm
508,Cheat Codes,Let Me Hold You (Turn Me On),3aLWuWKHaTV4Ok7LKvXRYn,66,7DMveApC7UnC2NPfPvlHSU,"['7DMveApC7UnC2NPfPvlHSU', '1b4DN8Vj0dnj5cceMFsRYN']","['Cheat Codes', 'Dante Klein']",2016,edm
509,Whethan,Can't Hide,7CotyU8EcChJlqOFnxPPmI,59,0vqJkZ0RpLZixt3lTmD8vP,"['0vqJkZ0RpLZixt3lTmD8vP', '6P5NO5hzJbuOqSdyPB7SJM']","['Whethan', 'Ashe']",2016,edm
510,Mako,I Won't Let You Walk Away (feat. Madison Beer) - Lost Kings Remix,05KeRMxuutPAe5JOVlzZi3,58,0Ye4nfYAA91T1X56gnlXAA,"['0Ye4nfYAA91T1X56gnlXAA', '2kRfqPViCqYdSGhYSM9R0Q', '3hyEbRtp617pNCuuQjyOmc']","['Mako', 'Madison Beer', 'Lost Kings']",2016,edm
511,Adventure Club,Crash 2.0,3NAGKEkJN7cUTaIYqFnF8l,57,5CdJjUi9f0cVgo9nFuJrFa,"['5CdJjUi9f0cVgo9nFuJrFa', '7uas0F5EhsZg6KDJ7yy7rW']","['Adventure Club', 'DallasK']",2016,edm
512,Getter,Forget It (feat. Oliver Tree),2xo44UuPdAFzaVMSX95suy,60,3QryVD03gGZOLQQXjy3EoA,"['3QryVD03gGZOLQQXjy3EoA', '6TLwD7HPWuiOzvXEa3oCNe']","['Getter', 'Oliver Tree']",2016,edm
513,Flosstradamus,Came Up,7f4Pjqs3XHSfV1UwX5vjxo,57,2FmzVitXZjIkFolH8HXd4j,"['2FmzVitXZjIkFolH8HXd4j', '53ixqKNKVTgtSx3m3DGMA2', '4E69riquObrTmBTVuF1b7B', '246dkjvS1zLTtiykXe5h60', '2tMOCIpxj6jwM9e6pmwGiP']","['Flosstradamus', 'FKi 1st', 'graves', 'Post Malone', 'KEY!']",2016,edm
514,Tujamo,Drop That Low (When I Dip),0WSjVLITbxV6kVXndziQDm,72,2vVNxGBvKRQMWwI5c8KmYh,['2vVNxGBvKRQMWwI5c8KmYh'],['Tujamo'],2016,edm
