,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
736,0.626,0.717,8,-5.751,0,0.0375,0.017,0.0,0.261,0.56,105.039,audio_features,2PC9Tl8SWVO2yhDDtJcrAi,spotify:track:2PC9Tl8SWVO2yhDDtJcrAi,https://api.spotify.com/v1/tracks/2PC9Tl8SWVO2yhDDtJcrAi,https://api.spotify.com/v1/audio-analysis/2PC9Tl8SWVO2yhDDtJcrAi,247427,4
737,0.629,0.882,0,-3.458,0,0.0312,0.167,0.711,0.0693,0.324,123.973,audio_features,2yox08l4o0FnOL8Ih4yEfM,spotify:track:2yox08l4o0FnOL8Ih4yEfM,https://api.spotify.com/v1/tracks/2yox08l4o0FnOL8Ih4yEfM,https://api.spotify.com/v1/audio-analysis/2yox08l4o0FnOL8Ih4yEfM,181935,4
738,0.431,0.877,8,-5.677,0,0.121,0.041,0.00128,0.126,0.484,159.897,audio_features,4s2rzq6ZpCfg5ODq0z79QG,spotify:track:4s2rzq6ZpCfg5ODq0z79QG,https://api.spotify.com/v1/tracks/4s2rzq6ZpCfg5ODq0z79QG,https://api.spotify.com/v1/audio-analysis/4s2rzq6ZpCfg5ODq0z79QG,195093,4
739,0.55,0.689,3,-7.76,0,0.094,0.0498,0.0,0.207,0.408,99.904,audio_features,6DsFZITJMPnh8z5XewfVmL,spotify:track:6DsFZITJMPnh8z5XewfVmL,https://api.spotify.com/v1/tracks/6DsFZITJMPnh8z5XewfVmL,https://api.spotify.com/v1/audio-analysis/6DsFZITJMPnh8z5XewfVmL,224487,4
740,0.562,0.906,4,-2.085,1,0.0758,0.105,0.0,0.145,0.674,124.146,audio_features,2MHCiOohBZEQuLgDTPvSzF,spotify:track:2MHCiOohBZEQuLgDTPvSzF,https://api.spotify.com/v1/tracks/2MHCiOohBZEQuLgDTPvSzF,https://api.spotify.com/v1/audio-analysis/2MHCiOohBZEQuLgDTPvSzF,205920,4
741,0.615,0.814,9,-3.903,0,0.0677,0.17,0.0,0.218,0.577,144.005,audio_features,6D3g26uM2CmNVUhPWWNsBS,spotify:track:6D3g26uM2CmNVUhPWWNsBS,https://api.spotify.com/v1/tracks/6D3g26uM2CmNVUhPWWNsBS,https://api.spotify.com/v1/audio-analysis/6D3g26uM2CmNVUhPWWNsBS,214150,4
742,0.655,0.818,2,-3.626,1,0.033,0.0842,0.0,0.106,0.474,115.971,audio_features,2kYqdSlrtovVMMIn6ykzba,spotify:track:2kYqdSlrtovVMMIn6ykzba,https://api.spotify.com/v1/tracks/2kYqdSlrtovVMMIn6ykzba,https://api.spotify.com/v1/audio-analysis/2kYqdSlrtovVMMIn6ykzba,240413,4
743,0.677,0.881,1,-3.534,0,0.054,0.00445,0.0146,0.359,0.566,128.121,audio_features,5MgBUUjbkQ27Kd9CbeZFLo,spotify:track:5MgBUUjbkQ27Kd9CbeZFLo,https://api.spotify.com/v1/tracks/5MgBUUjbkQ27Kd9CbeZFLo,https://api.spotify.com/v1/audio-analysis/5MgBUUjbkQ27Kd9CbeZFLo,190267,4
744,0.603,0.879,5,-4.098,1,0.124,0.0184,0.0,0.156,0.318,110.125,audio_features,0B2RttXEiyXsMeQ7mMP3EI,spotify:track:0B2RttXEiyXsMeQ7mMP3EI,https://api.spotify.com/v1/tracks/0B2RttXEiyXsMeQ7mMP3EI,https://api.spotify.com/v1/audio-analysis/0B2RttXEiyXsMeQ7mMP3EI,228253,4
745,0.376,0.692,0,-4.474,1,0.0558,0.0197,0.000393,0.111,0.0903,173.899,audio_features,46RvocxUkMUhCtDxk1BUyT,spotify:track:46RvocxUkMUhCtDxk1BUyT,https://api.spotify.com/v1/tracks/46RvocxUkMUhCtDxk1BUyT,https://api.spotify.com/v1/audio-analysis/46RvocxUkMUhCtDxk1BUyT,299657,4
746,0.762,0.821,9,-4.17,0,0.0389,0.205,0.000419,0.259,0.769,122.999,audio_features,6SqX9J8tXk7rXaspk7GWX1,spotify:track:6SqX9J8tXk7rXaspk7GWX1,https://api.spotify.com/v1/tracks/6SqX9J8tXk7rXaspk7GWX1,https://api.spotify.com/v1/audio-analysis/6SqX9J8tXk7rXaspk7GWX1,206960,4
747,0.582,0.914,11,-4.097,1,0.0573,0.0119,0.000408,0.201,0.268,118.076,audio_features,4iZ3YEN89TU8Uwan4NwkB8,spotify:track:4iZ3YEN89TU8Uwan4NwkB8,https://api.spotify.com/v1/tracks/4iZ3YEN89TU8Uwan4NwkB8,https://api.spotify.com/v1/audio-analysis/4iZ3YEN89TU8Uwan4NwkB8,271147,4
748,0.653,0.762,6,-7.111,1,0.0506,0.371,0.00687,0.0951,0.526,117.977,audio_features,4RNpfZR9Zm7efzuMghkPKb,spotify:track:4RNpfZR9Zm7efzuMghkPKb,https://api.spotify.com/v1/tracks/4RNpfZR9Zm7efzuMghkPKb,https://api.spotify.com/v1/audio-analysis/4RNpfZR9Zm7efzuMghkPKb,220678,4
